Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
11,2009,11/27/2009 0:00,Washington,48.6976,-122.4957,,
12,2009,12/12/2009 0:00,California,34.2716,-118.0282,,
4,2009,4/11/2009 11:30,Utah,40.2544,-111.6296,,
11,2009,11/17/2009 0:00,Washington,47.9933,-122.2136,,
1,2009,1/8/2009 1:00,Washington,47.538,-122.273,,
8,2009,8/20/2009 0:00,Iowa,43.0421,-91.1811,,
6,2009,6/11/2009 0:00,Utah,41.7385,-111.8132,,
7,2009,7/29/2009 0:00,Washington,48.5608,-120.7708,,
1,2009,1/7/2009 9:00,Washington,46.5455,-122.0818,,
12,2010,12/12/2010 0:00,Oregon,45.6182,-122.8089,,
1,2010,1/21/2010 22:00,Arizona,33.8342,-111.4726,,
1,2010,1/21/2010 0:00,California,34.0373,-116.5898,,
12,2010,12/21/2010 0:00,California,33.0744,-117.3092,,
5,2010,5/16/2010 8:00,Kentucky,37.6921,-83.0302,,
3,2010,3/14/2010 0:00,Massachusetts,42.6428,-70.939,,
3,2010,3/11/2010 18:15,Minnesota,45.3853,-92.6751,,
5,2010,5/3/2010 0:00,Kentucky,37.2648,-82.9738,,
12,2010,12/12/2010 4:30,Washington,47.0014,-122.1817,,
1,2010,1/18/2010 15:00,Washington,47.9699,-123.4961,,
3,2010,3/13/2010 0:00,West Virginia,38.3182,-80.7987,,
12,2010,12/19/2010 6:40,California,39.1647,-120.8632,,
9,2010,9/30/2010 0:00,New York,42.5363,-76.0909,,
12,2010,12/22/2010 9:00,California,34.1407,-117.1935,,
9,2010,9/11/2010 11:45,Tennessee,35.9283,-83.9594,,
3,2010,3/30/2010 15:00,Connecticut,41.5663,-72.6667,,
4,2010,4/20/2010 0:00,California,36.9604,-119.4511,,
3,2010,3/25/2010 8:00,Alabama,34.0844,-87.104,,
3,2010,3/30/2010 0:00,Maine,44.5407,-69.625,,
12,2010,12/19/2010 0:00,California,34.3,-117.9249,,
12,2010,12/12/2010 9:00,Washington,47.23,-122.2575,,
12,2010,12/28/2010 22:30,California,37.57,-122.515,,
6,2010,6/7/2010 1:30,North Carolina,35.1812,-82.7308,,
5,2010,5/3/2010 0:00,Kentucky,37.2482,-82.564,,
6,2010,6/21/2010 0:00,Indiana,40.425,-86.8044,,
5,2010,5/3/2010 2:00,Kentucky,36.7411,-83.6348,,
5,2010,5/2/2010 0:00,Tennessee,35.7322,-87.1288,,
1,2010,1/25/2010 9:00,Pennsylvania,40.4355,-80.0122,,
1,2010,1/13/2010 13:00,Oregon,44.9216,-123.0565,,
2,2010,2/6/2010 3:30,California,34.2219,-118.2286,,
1,2010,1/20/2010 0:00,California,34.2239,-118.2002,,
12,2010,12/12/2010 0:00,Washington,47.7174,-122.2791,,
12,2010,12/22/2010 2:18,California,33.5752,-117.763,,
3,2010,3/11/2010 0:00,Pennsylvania,40.4319,-80.0061,,
5,2010,5/3/2010 0:00,Kentucky,37.5339,-82.0999,,
12,2010,12/9/2010 6:30,Washington,47.8287,-122.3534,,
2,2010,2/25/2010 6:45,California,33.9062,-116.8721,,
2,2010,2/6/2010 0:00,California,34.2413,-118.2208,,
5,2010,5/3/2010 0:00,Kentucky,37.7939,-82.3635,,
7,2010,7/23/2010 14:30,Colorado,37.2743,-107.9352,,
8,2010,8/19/2010 0:00,Utah,38.647,-109.9818,,
12,2010,12/1/2010 9:00,North Carolina,35.2436,-82.4872,,
8,2010,8/1/2010 19:30,Utah,39.9243,-111.5443,,
1,2010,1/16/2010 9:00,Washington,47.9615,-122.2272,,
3,2010,3/30/2010 8:00,Iowa,40.63499096,-91.28401244,,
1,2010,1/18/2010 0:00,California,34.2445,-118.2242,,
2,2010,2/24/2010 2:00,California,37.0456,-121.9396,,
1,2010,1/14/2010 3:47,Washington,47.3031,-122.2555,,
5,2010,5/2/2010 0:00,Tennessee,35.9778,-86.8239,,
2,2010,2/5/2010 20:00,California,33.7248,-118.3218,,
10,2010,10/10/2010 2:45,Washington,47.3848,-122.4801,,
8,2010,8/26/2010 15:00,California,36.0833,-117.9771,,
1,2010,1/12/2010 18:00,Washington,47.5455,-122.3983,,
12,2010,12/12/2010 0:00,Washington,47.7139,-122.2777,,
7,2010,7/27/2010 0:00,Kentucky,39.0981,-84.4748,,
8,2010,8/25/2010 14:10,California,34.0935,-116.9472,,
2,2010,2/4/2010 7:00,South Carolina,34.6998,-82.8804,,
1,2010,1/24/2010 0:00,Tennessee,35.1328,-85.3186,,
1,2010,1/21/2010 15:00,California,34.2243,-118.2263,,
5,2010,5/3/2010 0:00,Ohio,38.615,-82.4835,,
7,2010,7/28/2010 16:30,Washington,46.6521,-121.2355,,
7,2010,7/16/2010 20:00,Georgia,34.1538,-83.6417,,
7,2010,7/26/2010 15:45,Colorado,38.0053,-108.0383,,
2,2010,2/6/2010 8:00,California,34.2141,-118.2222,,
2,2010,2/27/2010 0:00,California,34.1102,-117.3024,,
3,2010,3/12/2010 0:00,West Virginia,38.2323,-81.5377,,
